id	citation_pmid	citation_url	citation_desc
trm_4a3fd79d09b6d		http://www.scholarpedia.org/article/Visual_masking	Visual masking
trm_4a3fd79d09b6d	11140180	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11140180&retmode=ref&cmd=prlinks	Recent models and findings in visual backward masking: a comparison, review, and update.
trm_4a3fd79d0b3d7	21283812	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21283812&retmode=ref&cmd=prlinks	Double dissociation of amygdala and hippocampal contributions to trace and delay fear conditioning.
trm_4a3fd79d0b3d7	16928858	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16928858&retmode=ref&cmd=prlinks	Trace conditioning and the hippocampus: the importance of contiguity.
trm_4af89b3a925ca	15708213	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15708213&retmode=ref&cmd=prlinks	Sex differences and the factor of time in solving Vandenberg and Kuse mental rotation problems.
trm_4af89b3a925ca	18986057	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18986057&retmode=ref&cmd=prlinks	Women athletes&#39; mental rotation under stereotypic threat.
trm_4af89b3a925ca	7546667	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=7546667&retmode=ref&cmd=prlinks	A redrawn Vandenberg and Kuse mental rotations test: different versions and factors that affect performance.
trm_4b1968619b00b	23218565	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=23218565&retmode=ref&cmd=prlinks	Age dependence of hemodynamic response characteristics in human functional magnetic resonance imaging.
trm_4b1968619b00b	21574716	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21574716&retmode=ref&cmd=prlinks	Let&#39;s inhibit our excitement: The relationships between Stroop, behavioral disinhibition, and the frontal lobes.
trm_4b1968619b00b	7418368	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=7418368&retmode=ref&cmd=prlinks	Attention and automaticity in Stroop and priming tasks: theory and data.
trm_4b4a537644d76	23244641	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=23244641&retmode=ref&cmd=prlinks	Clinical Utility of the Conners&#39; Continuous Performance Test-II to Detect Poor Effort in U.S. Military Personnel Following Traumatic Brain Injury.
trm_4b4a537644d76	11295383	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11295383&retmode=ref&cmd=prlinks	Comparison of the continuous performance test with and without working memory demands in healthy controls and patients with schizophrenia.
trm_4b4a537644d76	19945485	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19945485&retmode=ref&cmd=prlinks	A cognitive neuroscience-based computerized battery for efficient measurement of individual differences: standardization and initial construct validation.
