hed_process_id	hed_process_name	hed_category_id	match_type	atlas_concept_id	atlas_concept_name	atlas_concept_class	atlas_task_count	atlas_concept_matches	notes
hed_acoustic_processing	Acoustic processing	auditory_and_pre_attentive_deviance_processing	close	trm_4a3fd79d0971e	acoustic processing	ctp_C1	3	1	Atlas definition describes underwater and atmospheric signal propagation, not auditory cognition
hed_action_initiation	Action initiation	motor_preparation_timing_and_execution	exact	trm_4a3fd79d0b5c0	action initiation	ctp_C7		1	
hed_active_maintenance	Active maintenance	short_term_and_working_memory	exact	trm_4a3fd79d0ba0d	active maintenance	ctp_C4	15	1	
hed_affective_priming	Affective priming	emotion_perception_and_regulation	related	trm_4e89aebaa311d	priming	ctp_C5		1	Atlas has no affective or evaluative priming entry
hed_alerting	Alerting	selective_and_sustained_attention	none						Atlas has no alerting entry despite carrying the ANT
hed_analogical_reasoning	Analogical reasoning	reasoning_and_problem_solving	exact	trm_4a3fd79d09810	analogical reasoning	ctp_C3	1	1	
hed_antisaccade	Antisaccade	motor_preparation_timing_and_execution	none						No antisaccade concept; the Atlas registers it only as a task
hed_approach_motivation	Approach motivation	reward_anticipation_and_motivation	none						Only the BIS/BAS trait scale, not the process
hed_associative_learning	Associative learning	associative_learning_and_reinforcement	exact	trm_4a3fd79d098c9	association learning	ctp_C5	7	1	
hed_attention_shifting	Attention shifting	selective_and_sustained_attention	exact	trm_4a3fd79d0b5fb	attention shifting	ctp_C2	12	1	
hed_attentional_awareness	Attentional awareness	awareness_agency_and_metacognition	related	trm_4a3fd79d09e35	consciousness				Atlas has only the broader parent term
hed_attentional_capture	Attentional capture	selective_and_sustained_attention	none						No attentional capture entry
hed_auditory_perception	Auditory perception	auditory_and_pre_attentive_deviance_processing	exact	trm_4a3fd79d09ab2	auditory perception	ctp_C1	21	1	
hed_auditory_tone_discrimination	Auditory tone discrimination	auditory_and_pre_attentive_deviance_processing	exact	trm_557b476527a27	auditory tone discrimination	ctp_C1	3	1	
hed_autobiographical_memory	Autobiographical memory	long_term_memory	exact	trm_4a3fd79d09b10	autobiographical memory	ctp_C5	2	1	
hed_avoidance_motivation	Avoidance motivation	reward_anticipation_and_motivation	none						Only the BIS/BAS trait scale, not the process
hed_biological_motion_perception	Biological motion perception	face_and_object_perception	close	trm_kYtw4QBOKCbsM	biological motion			1	
hed_body_ownership	Body ownership	awareness_agency_and_metacognition	close	trm_4e5faabfe8ce3	sense of body ownership		1	1	
hed_categorization	Categorization	reasoning_and_problem_solving	exact	trm_4a3fd79d09c28	categorization	ctp_C3	5	1	
hed_causal_reasoning	Causal reasoning	reasoning_and_problem_solving	related	trm_4a3fd79d0aec1	reasoning	ctp_C3	5	1	Atlas has only the broader parent term
hed_choice_commitment	Choice commitment	value_based_decision_making_under_risk_and_uncertainty	none						No entry for decision commitment
hed_chunking	Chunking	short_term_and_working_memory	exact	trm_4a3fd79d09cae	chunking	ctp_C4	4	1	
hed_cognitive_reappraisal	Cognitive reappraisal	emotion_perception_and_regulation	close	trm_557b4844ca14d	emotional reappraisal			1	Atlas entry has no definition
hed_competition	Competition	social_cognition_and_strategic_social_choice	exact	trm_4a3fd79d09daa	competition			1	
