cogpo_id	cogpo_label	cogpo_source	cogpo_parent	cogpo_def_chars	scope_class	match_type	match_level	hedtsk_id	hed_task_name	hed_variation_id	hed_variation_name	notes
COGPO_00044	Action Observation Paradigm	owl	Behavioral Experimental Paradigm	110	broad_class	related	task	hedtsk_biological_motion_perception	Biological Motion Perception Task			Viewing moving body parts. The Catalog's point-light task is one instance; Imitation-Inhibition Task also shows actions. No general action-observation task in the Catalog.
COGPO_00048	Acupuncture Paradigm	owl	Behavioral Experimental Paradigm	115	physiological	none						Acupuncture is an intervention, not a task; excluded by task criteria 1.2.
COGPO_00047	Anti-Saccades Paradigm	owl	Behavioral Experimental Paradigm	193	paradigm	exact	task	hedtsk_anti_saccade	Anti-Saccade Task			Same paradigm.
COGPO_00045	Braille Reading Paradigm	owl	Behavioral Experimental Paradigm	136	paradigm	none						Braille word reading by blind participants. A genuine task the Catalog does not list.
COGPO_00041	Breath-Holding Paradigm	owl	Behavioral Experimental Paradigm	107	physiological	none						Breath holding is a physiological challenge (vascular reactivity calibration), not a cognitive task.
COGPO_00037	Chewing or Swallowing Paradigm	owl	Behavioral Experimental Paradigm	279	physiological	none						Oral motor act with no trial structure eliciting a cognitive process.
COGPO_00042	Classical Conditioning Paradigm	owl	Behavioral Experimental Paradigm	238	broad_class	close	task	hedtsk_pavlovian_fear_conditioning	Pavlovian Fear Conditioning Task			CogPO's class is all classical conditioning (its example is eyeblink conditioning); the Catalog's task is fear conditioning, one member of it.
COGPO_00036	Counting or Calculation Paradigm	owl	Behavioral Experimental Paradigm	175	paradigm	none						Mental arithmetic and counting. The Catalog has no calculation task; Counting Stroop is a variation, not a counting task.
COGPO_00035	Cued Explicit Recognition Paradigm	owl	Behavioral Experimental Paradigm	280	paradigm	exact	task	hedtsk_old_new_recognition_memory	Old/New Recognition Memory Task			Study list then old/new judgements on probes: the Catalog's Old/New Recognition Memory Task.
COGPO_00039	Deception Task Paradigm	owl	Behavioral Experimental Paradigm	167	paradigm	none						Instructed lying. A genuine paradigm family the Catalog does not list.
COGPO_00038	Deductive Reasoning Paradigm	owl	Behavioral Experimental Paradigm	226	broad_class	close	task	hedtsk_wason_selection	Wason Selection Task			A class of reasoning tasks. Wason Selection is the Catalog's deductive reasoning task; Raven's Progressive Matrices is inductive but CogPO's definition would admit it.
COGPO_00046	Delay Discounting Task Paradigm	owl	Behavioral Experimental Paradigm	254	paradigm	exact	task	hedtsk_delay_discounting	Delay Discounting Task			Same paradigm.
COGPO_00050	Delayed Non Match To Sample Paradigm	owl	Behavioral Experimental Paradigm	299	paradigm	exact	variation	hedtsk_delayed_match_to_sample	Delayed Match-to-Sample Task	hedvar_delayed_match_to_sample__delayed_non_match_to_sample_dnms	Delayed Non-Match-to-Sample (DNMS)	The Catalog files DNMS as a variation of Delayed Match-to-Sample; CogPO makes it a sibling class.
COGPO_00043	Divided Auditory Attention Paradigm	owl	Behavioral Experimental Paradigm	285	paradigm	none						Dual task with an auditory discrimination as one component. The Catalog's only dual-task paradigm, Psychological Refractory Period, has a different structure.
COGPO_00040	Drawing Paradigm	owl	Behavioral Experimental Paradigm	144	motor_act	related	task	hedtsk_mirror_tracing	Mirror Tracing Task			Drawing with a pen or stylus. Mirror Tracing is a drawing task with a perceptual-motor manipulation; plain drawing is a motor act the Catalog does not list.
COGPO_00058	Eating or Drinking Paradigm	owl	Behavioral Experimental Paradigm	147	physiological	none						Consumption, not a task.
COGPO_00052	Encoding Paradigm	owl	Behavioral Experimental Paradigm	165	broad_class	related	task	hedtsk_free_recall	Free Recall Task			An encoding phase, not a task: every Catalog memory task (Free Recall, Old/New Recognition, Paired Associates, Self-Referential Encoding) contains one. CogPO codes the phase because BrainMap contrasts isolate it.
COGPO_00055	Episodic Recall Paradigm	owl	Behavioral Experimental Paradigm	489	broad_class	close	task	hedtsk_autobiographical_memory	Autobiographical Memory Task			CogPO's class is recall from episodic memory in general, with autobiographical recall as the typical use; the Catalog's Autobiographical Memory Task is that typical case.
COGPO_00057	Face Monitor or Discrimination Paradigm	owl	Behavioral Experimental Paradigm	345	broad_class	close	task	hedtsk_face_processing	Face Processing Task			Covers passive face viewing (the Catalog's Face Processing Task, a localizer) and discrimination by gender, emotion or identity (Facial Emotion Recognition, Cambridge Face Memory). Primary: Face Processing Task.
COGPO_00060	Film Viewing Paradigm	owl	Behavioral Experimental Paradigm	187	paradigm	none						Passive or judged movie viewing. The Catalog has no naturalistic film-viewing task; Affective Picture Viewing uses static pictures.
COGPO_00056	Finger Tapping Paradigm	owl	Behavioral Experimental Paradigm	150	paradigm	exact	task	hedtsk_finger_tapping	Finger Tapping Task			Same paradigm.
COGPO_00053	Fixation Paradigm	owl	Behavioral Experimental Paradigm	115	pseudo_task	exact	task	hedtsk_fixate	Fixate Task			The Catalog's Fixate Task, a pseudo task.
COGPO_00059	Flanker Task Paradigm	owl	Behavioral Experimental Paradigm	287	paradigm	exact	task	hedtsk_eriksen_flanker	Eriksen Flanker Task			Same paradigm.
COGPO_00051	Flashing Checkerboard Paradigm	owl	Behavioral Experimental Paradigm	117	imaging_protocol	none						A visual-cortex localizer stimulus with no task; excluded as an imaging protocol.
COGPO_00062	Flexion or Extension Paradigm	owl	Behavioral Experimental Paradigm	160	motor_act	none						Limb or tongue movement with no cognitive manipulation.
COGPO_00061	Free Word List Recall Paradigm	owl	Behavioral Experimental Paradigm	175	paradigm	exact	task	hedtsk_free_recall	Free Recall Task			Same paradigm. Rey Auditory Verbal Learning is the Catalog's standardized multi-trial version.
COGPO_00054	Go/No-Go Paradigm	owl	Behavioral Experimental Paradigm	295	paradigm	exact	task	hedtsk_go_no_go	Go/No-Go Task			Same paradigm. CogPO has no stop-signal or SART class; the Catalog's Stop-Signal and Sustained Attention to Response tasks map here as close.
COGPO_00068	Grasping Paradigm	owl	Behavioral Experimental Paradigm	261	motor_act	none						Grasping or mimed grasping; a motor act.
COGPO_00069	Imagined Movement Paradigm	owl	Behavioral Experimental Paradigm	155	paradigm	none						Motor imagery. A genuine paradigm the Catalog does not list.
COGPO_00076	Imagined Objects or Scenes Paradigm	owl	Behavioral Experimental Paradigm	208	paradigm	none						Visual mental imagery. A genuine paradigm the Catalog does not list.
COGPO_00066	Isometric Force Paradigm	owl	Behavioral Experimental Paradigm	175	motor_act	none						Force production or precision grip; a motor act.
COGPO_00077	Mental Rotation Paradigm	owl	Behavioral Experimental Paradigm	276	paradigm	exact	task	hedtsk_mental_rotation	Mental Rotation Task			Same paradigm.
COGPO_00067	Micturition Task Paradigm	owl	Behavioral Experimental Paradigm	99	physiological	none						Voiding; not a task.
COGPO_00074	Music Comprehension or Production Paradigm	owl	Behavioral Experimental Paradigm	143	paradigm	none						Music listening or singing. The Catalog has no music task.
COGPO_00093	n-back Paradigm	owl	Behavioral Experimental Paradigm	247	paradigm	exact	task	hedtsk_n_back	N-Back Task			Same paradigm.
Naming_(Covert)_Paradigm	Naming (Covert) Paradigm	owl	Behavioral Experimental Paradigm	157	paradigm	close	task	hedtsk_picture_naming	Picture Naming Task			Silent object naming. The Catalog does not split naming by overt or covert response; Picture Naming covers both.
Naming_(Overt)_Paradigm	Naming (Overt) Paradigm	owl	Behavioral Experimental Paradigm	154	paradigm	exact	task	hedtsk_picture_naming	Picture Naming Task			Aloud object naming: the Catalog's Picture Naming Task.
COGPO_00070	Non-Painful Electrical Stimulation Paradigm	owl	Behavioral Experimental Paradigm	144	physiological	none						Somatosensory stimulation with no task; a stimulation procedure.
COGPO_00075	Non-Painful Thermal Stimulation Paradigm	owl	Behavioral Experimental Paradigm	154	physiological	none						Thermal stimulation with no task; a stimulation procedure.
COGPO_00071	Oddball Discrimination Paradigm	owl	Behavioral Experimental Paradigm	354	paradigm	exact	task	hedtsk_oddball	Oddball Task			Same paradigm; the two CogPO subclasses map to the Catalog's variations.
COGPO_00073	Olfactory Monitor/Discrimination Paradigm	owl	Behavioral Experimental Paradigm	259	paradigm	none						Odor detection or discrimination. The Catalog has no olfactory task.
COGPO_00063	Orthographic Discrimination Paradigm	owl	Behavioral Experimental Paradigm	266	broad_class	related	task	hedtsk_lexical_decision	Lexical Decision Task			Judgements on letter case, spelling or alphabetic order. The Catalog's word tasks are lexical (Lexical Decision) or phonological (Phonological Awareness); none is orthographic.
COGPO_00065	Pain Monitor/Discrimination Paradigm	owl	Behavioral Experimental Paradigm	157	physiological	none						Painful stimulation; a stimulation procedure, not a task.
COGPO_00078	Paired Associate Recall Paradigm	owl	Behavioral Experimental Paradigm	237	paradigm	exact	task	hedtsk_paired_associates_learning	Paired Associates Learning Task			Same paradigm.
COGPO_00085	Passive Listening Paradigm	owl	Behavioral Experimental Paradigm	299	broad_class	related	task	hedtsk_mismatch_negativity	Mismatch Negativity Task			Listening with no response. The Catalog's Mismatch Negativity Task is a passive auditory paradigm but with an oddball structure; there is no plain passive-listening task.
COGPO_00084	Passive Viewing Paradigm	owl	Behavioral Experimental Paradigm	340	broad_class	close	task	hedtsk_affective_picture_viewing	Affective Picture Viewing Task			Viewing with no response, any visual stimulus. The Catalog's Affective Picture Viewing (alias Passive Viewing Task) is the affective case; the Face Processing localizer is another.
COGPO_00080	Phonological Discrimination Paradigm	owl	Behavioral Experimental Paradigm	245	paradigm	exact	task	hedtsk_phonological_awareness	Phonological Awareness Task			Rhyme, syllable-count and homophone judgements are the Catalog's Phonological Awareness Task.
COGPO_00082	Pitch Monitor/Discrimination Paradigm	owl	Behavioral Experimental Paradigm	413	broad_class	none						Pitch judgements on speech and non-speech sounds. The Catalog has no pitch-discrimination task.
COGPO_00079	Pointing Paradigm	owl	Behavioral Experimental Paradigm	173	motor_act	none						Pointing at a target; a motor act.
COGPO_00083	Posner Task Paradigm	owl	Behavioral Experimental Paradigm	372	paradigm	exact	task	hedtsk_posner_spatial_cueing	Posner Spatial Cueing Task			Same paradigm.
Reading_(Covert)_Paradigm	Reading (Covert) Paradigm	owl	Behavioral Experimental Paradigm	178	broad_class	close	task	hedtsk_self_paced_reading	Self-Paced Reading Task			Silent reading of words or sentences. Self-Paced Reading is the Catalog's silent-reading task; Sentence Comprehension also reads silently.
Reading_(Overt)_Paradigm	Reading (Overt) Paradigm	owl	Behavioral Experimental Paradigm	175	paradigm	none						Reading aloud. The Catalog has no read-aloud task.
Repetition_(Covert)_Paradigm	Recitation/Repetition (Covert) Paradigm	owl	Behavioral Experimental Paradigm	216	paradigm	none						Silent recitation or repetition. Not in the Catalog.
Repetition_(Overt)_Paradigm	Recitation/Repetition (Overt) Paradigm	owl	Behavioral Experimental Paradigm	221	paradigm	none						Aloud recitation or repetition. Not in the Catalog.
COGPO_00086	Rest Paradigm	owl	Behavioral Experimental Paradigm	135	pseudo_task	exact	task	hedtsk_rest	Rest Task			The Catalog's Rest Task, a pseudo task; CogPO's definition covers both eye states.
COGPO_00081	Reward Task Paradigm	owl	Behavioral Experimental Paradigm	182	broad_class	related	task	hedtsk_monetary_incentive_delay	Monetary Incentive Delay Task			Any task with performance-contingent reward: a class, not a paradigm. The Catalog's reward tasks (Monetary Incentive Delay, Iowa Gambling, Multi-Armed Bandit, Probabilistic Selection, Reversal Learning, Two-Stage Decision, Effort-Based Decision-Making, Social Incentive Delay) all fall in it.
