family_id	order	name	scope
conflict_and_interference	1	Conflict and interference tasks	A task-relevant feature must be reported while a task-irrelevant feature of the same stimulus or of a distractor pulls toward a competing response; the cost on incongruent trials is the measure.
response_inhibition	2	Response inhibition and stopping tasks	A prepared or prepotent response must be withheld or cancelled on a minority of trials; commission errors and stopping latency are the measures.
attentional_cueing	3	Attentional cueing and orienting tasks	A cue precedes a target and predicts its location or identity with some validity; the benefit of valid over invalid cues is the measure.
visual_search_and_tracking	4	Visual search and tracking tasks	A target must be found among, or followed through, a field of distractors; search slopes, detection accuracy or tracking capacity are the measures.
oddball_and_vigilance	5	Oddball, vigilance and continuous performance tasks	A long stream of stimuli contains rare targets or deviants; detection, false alarms, response variability or the evoked response to the rare event are the measures.
perceptual_judgment	6	Perceptual judgment and psychophysics tasks	A judgment about a sensory stimulus near or below threshold, or a passive presentation designed to isolate a perceptual response; thresholds, accuracy and evoked responses are the measures.
working_memory_span	7	Short-term and working memory tasks	A small set of items must be held, and sometimes manipulated, over a delay of seconds before a probe or reproduction; span, capacity or set-size effects are the measures.
recall_and_recognition	8	Recall and recognition memory tests	A study phase is followed, after minutes or longer, by a test that asks the participant to recall, recognize or attribute studied material; hits, false alarms and their decomposition are the measures.
memory_control	9	Memory control and prospective memory tasks	Encoding or retrieval is deliberately shaped by instruction: an item is to be forgotten, suppressed, related to the self, or an intention is to be executed later; the effect on later memory or on intention completion is the measure.
metacognition_and_interoception	10	Metacognition, agency and interoception tasks	The participant reports on their own cognition, action or body: confidence in future recall, the perceived time of an action, the sense that a limb or heartbeat is theirs; the correspondence between report and fact is the measure.
conditioning_and_reinforcement	11	Conditioning, reinforcement and implicit learning tasks	Contingencies between stimuli, actions and outcomes are learned from experience, with or without explicit instruction; learning curves, choice probabilities and perseveration are the measures.
motor_performance	12	Motor performance and speeded response tasks	Movement itself is the object: timing, sequencing, adaptation or speed of a well-specified response; tapping rate, error, completion time and dual-task cost are the measures.
executive_and_reasoning	13	Rule use, planning and reasoning tasks	A rule must be discovered, applied, switched or used to plan a sequence of moves; switch costs, perseverative errors, solution accuracy and planning time are the measures.
reward_and_value_choice	14	Reward, risk and value-based choice tasks	Options differing in reward magnitude, probability, delay or effort are chosen between, or a cue announces a potential reward before a speeded response; choice curves and anticipatory responses are the measures.
social_cognition_and_games	15	Social cognition and social choice tasks	Another agent's mental state must be inferred, or money must be allocated between the participant and another player; inference accuracy and allocation patterns are the measures.
emotion	16	Emotion elicitation and regulation tasks	Affective stimuli are presented to elicit, recognize or regulate an emotional response; ratings, physiological responses and recognition accuracy are the measures.
language	17	Language comprehension and production tasks	Words, sentences or pictures are read, heard, named or generated; reading time, naming latency, lexical decision speed and fluency counts are the measures.
spatial_navigation	18	Spatial cognition and navigation tasks	A location or orientation in space must be learned, imagined or found; path efficiency, rotation cost and spatial errors are the measures.
pseudo_tasks	19	Pseudo tasks: rest, fixation, self-report and feedback blocks	Block-level activities that establish or hold a brain state, collect a self-report, or deliver feedback, rather than eliciting a process through trials; the participant rests, fixates, answers a questionnaire or receives a performance summary, and the block's onset, offset and instruction are what is recorded. Pseudo tasks carry no process links at this time.
