hedtsk_id	family_id	confidence	rationale
hedtsk_stroop_color_word	conflict_and_interference	high	Canonical interference task
hedtsk_emotional_stroop	conflict_and_interference	high	Stroop procedure with emotional words
hedtsk_eriksen_flanker	conflict_and_interference	high	Target with congruent or incongruent flankers
hedtsk_simon	conflict_and_interference	high	Irrelevant location conflicts with response side
hedtsk_navon	conflict_and_interference	review	Global-local interference; could be filed under perceptual judgment
hedtsk_implicit_association	conflict_and_interference	high	Response-key compatibility effect between paired categories
hedtsk_weapons_identification	conflict_and_interference	review	Race prime creates a congruence effect on categorization; could be filed under social cognition
hedtsk_imitation_inhibition	conflict_and_interference	high	Observed action congruent or incongruent with the instructed movement
hedtsk_go_no_go	response_inhibition	high	Withhold on rare no-go stimuli
hedtsk_stop_signal	response_inhibition	high	Cancel an initiated response on a stop signal
hedtsk_anti_saccade	response_inhibition	high	Suppress the reflexive saccade and look away
hedtsk_sustained_attention_to_response	response_inhibition	review	Go/no-go structure with rare withhold targets; also a vigilance measure
hedtsk_posner_spatial_cueing	attentional_cueing	high	Canonical spatial cueing paradigm
hedtsk_dot_probe	attentional_cueing	high	Probe appears at one of two cue locations
hedtsk_attention_network	attentional_cueing	review	Cueing combined with a flanker; filed by its cue manipulation
hedtsk_visual_search	visual_search_and_tracking	high	Find a target among distractors
hedtsk_contextual_cueing	visual_search_and_tracking	review	Visual search with repeated layouts; the learning could argue for conditioning and implicit learning
hedtsk_multiple_object_tracking	visual_search_and_tracking	high	Track moving targets among identical distractors
hedtsk_useful_field_of_view	visual_search_and_tracking	high	Peripheral target localization among distractors
hedtsk_oddball	oddball_and_vigilance	high	Rare deviants in a stream of standards
hedtsk_mismatch_negativity	oddball_and_vigilance	high	Passive auditory oddball
hedtsk_continuous_performance	oddball_and_vigilance	high	Rare targets in an extended stream
hedtsk_psychomotor_vigilance	oddball_and_vigilance	high	Simple reactions to unpredictable stimuli over minutes
hedtsk_rapid_serial_visual_presentation	oddball_and_vigilance	review	Targets in a rapid stream; the attentional blink could argue for visual search and tracking
hedtsk_random_dot_kinematogram	perceptual_judgment	high	Motion direction judgment under varying coherence
hedtsk_visual_masking	perceptual_judgment	high	Target visibility reduced by a mask
hedtsk_auditory_masking	perceptual_judgment	high	Detection or discrimination of a sound in noise
hedtsk_biological_motion_perception	perceptual_judgment	high	Judgment of point-light displays
hedtsk_face_processing	perceptual_judgment	high	Passive presentation of faces versus objects to isolate a perceptual response
hedtsk_digit_span	working_memory_span	high	Reproduce a digit sequence
hedtsk_corsi_block_tapping	working_memory_span	high	Reproduce a spatial sequence
hedtsk_operation_span	working_memory_span	high	Complex span with interleaved arithmetic
hedtsk_n_back	working_memory_span	high	Compare each item with the one n back
hedtsk_change_detection	working_memory_span	high	Sample array, delay, probe array
hedtsk_delayed_match_to_sample	working_memory_span	high	Sample, delay, match judgment
hedtsk_sternberg_item_recognition	working_memory_span	high	Memory set followed by a membership probe
hedtsk_free_recall	recall_and_recognition	high	Study a list, recall in any order
hedtsk_rey_auditory_verbal_learning	recall_and_recognition	high	Repeated list learning with delayed recall
hedtsk_paired_associates_learning	recall_and_recognition	high	Cued recall of studied pairs
hedtsk_old_new_recognition_memory	recall_and_recognition	high	Studied items among new lures
hedtsk_remember_know	recall_and_recognition	high	Recognition with a remember or know judgment
hedtsk_source_memory	recall_and_recognition	high	Recognition with an attribution of encoding context
hedtsk_mnemonic_similarity	recall_and_recognition	high	Recognition with similar lures
hedtsk_cambridge_face_memory	recall_and_recognition	review	Learn then recognize faces; could be filed under perceptual judgment as a face-processing measure
hedtsk_autobiographical_memory	recall_and_recognition	high	Cued retrieval of personal memories
hedtsk_self_referential_encoding	memory_control	high	Encoding instruction manipulates later recall
hedtsk_directed_forgetting	memory_control	high	Remember or forget cues at study
hedtsk_think_no_think	memory_control	high	Retrieve or suppress an associate on cue
hedtsk_prospective_memory	memory_control	review	Execute a deferred intention during an ongoing task; the only prospective paradigm in the Catalog
hedtsk_judgment_of_learning	metacognition_and_interoception	high	Predict later recall of each studied item
hedtsk_feeling_of_knowing	metacognition_and_interoception	high	Rate recognizability after failed recall
hedtsk_heartbeat_detection	metacognition_and_interoception	high	Count or discriminate one's own heartbeats
hedtsk_intentional_binding	metacognition_and_interoception	high	Judge the time of a voluntary action and its effect
hedtsk_body_ownership_illusion	metacognition_and_interoception	high	Induced ownership of a fake limb
hedtsk_pavlovian_fear_conditioning	conditioning_and_reinforcement	high	CS paired with an aversive US
hedtsk_instrumental_conditioning	conditioning_and_reinforcement	high	Actions reinforced under a schedule
hedtsk_reversal_learning	conditioning_and_reinforcement	high	Learned contingencies switch
hedtsk_probabilistic_selection	conditioning_and_reinforcement	high	Learn stimulus pairs from probabilistic feedback
hedtsk_probabilistic_classification_learning	conditioning_and_reinforcement	high	Multi-cue prediction with trial feedback
hedtsk_multi_armed_bandit	conditioning_and_reinforcement	high	Repeated choice among options with unknown payoffs
hedtsk_two_stage_decision	conditioning_and_reinforcement	high	Two-step choice dissociating model-based and model-free learning
hedtsk_causal_learning	conditioning_and_reinforcement	high	Judge causal strength from cue-outcome pairings
hedtsk_artificial_grammar_learning	conditioning_and_reinforcement	high	Implicit rule learning from exposure to strings
hedtsk_serial_reaction_time	conditioning_and_reinforcement	review	Implicit sequence learning through key presses; could be filed under motor performance
hedtsk_finger_tapping	motor_performance	high	Tapping rate and timing
hedtsk_motor_sequence_learning	motor_performance	high	Explicit practice of a finger sequence
hedtsk_mirror_tracing	motor_performance	high	Visuomotor adaptation to mirrored feedback
hedtsk_digit_symbol_substitution	motor_performance	review	Speeded symbol coding; processing speed rather than motor control is the usual reading
hedtsk_psychological_refractory_period	motor_performance	review	Dual-task response-selection bottleneck; no dual-task family exists yet
hedtsk_task_switching	executive_and_reasoning	high	Alternate between tasks on cue
hedtsk_wisconsin_card_sorting	executive_and_reasoning	high	Discover and switch a hidden sorting rule
hedtsk_trail_making	executive_and_reasoning	review	Part B alternates sequences; Part A is a speeded motor task
hedtsk_tower_of_london	executive_and_reasoning	high	Plan a sequence of moves to a goal state
hedtsk_ravens_progressive_matrices	executive_and_reasoning	high	Induce a rule from a matrix
hedtsk_wason_selection	executive_and_reasoning	high	Choose cards to test a conditional rule
hedtsk_remote_associates	executive_and_reasoning	review	Insight problem solving over words; could be filed under language
hedtsk_delay_discounting	reward_and_value_choice	high	Smaller-sooner versus larger-later choices
hedtsk_balloon_analog_risk	reward_and_value_choice	high	Sequential risk taking for reward
hedtsk_iowa_gambling	reward_and_value_choice	high	Deck choices with hidden gain and loss distributions
hedtsk_effort_based_decision_making	reward_and_value_choice	high	Choice between low and high effort for reward
hedtsk_monetary_incentive_delay	reward_and_value_choice	high	Cue announces a potential monetary outcome before a speeded response
hedtsk_social_incentive_delay	reward_and_value_choice	high	Incentive delay with social outcomes
hedtsk_ultimatum_game	social_cognition_and_games	high	Accept or reject a proposed split
